id,date,customer,product,price,quantity,status
59,2026-06-07,LEI_3581,HDD,700000,2,refunded
60,2026-04-12,gUPta_701,Printer,3500000,1,paid
61,2026-08-13,KoFIbez,Mouse,150000,2,failed
62,2026-06-28,SusaNNe_474,Monitor,2500000,1,pending
63,2026-07-09,maT9Eo567,Mouse,150000,1,paid
64,2026-07-11,MAnuEl_330,Monitor,2500000,0,cancelled
65,2026-05-13,m9ArIe4738,Monitor,2500000,1,pending
66,2026-08-28,I9Van_533,Mouse,150000,1,cancelled
67,2026-06-30,dEvi_183,Monitor,2500000,3,pending
68,2026-04-10,cHUkWuLy,Webcam,300000,4,pending
69,2026-07-07,we5I7377,Headset,450000,0,failed
70,2026-04-22,ELE8naXqZ7,SSD,900000,1,refunded
71,2026-06-29,nAtalIA4560,Printer,-3500000,3,cancelled
72,2026-05-22,klAUs349yR,Headset,450000,4,cancelled
73,2026-04-18,mOniKA52297,RAM,800000,0,pending
74,2026-05-06,fAtIMAX9,Keyboard,500000,1,failed
75,2026-08-19,aSepPsUs,RAM,800000,3,paid
76,2026-08-24,KIm_233,Laptop,10000000,3,failed
77,2026-04-18,Ito3596,Headset,450000,3,paid
78,2026-03-24,c9ItRAbBi,Printer,3500000,5,paid
79,2026-05-06,mANuE1L6191,Laptop,10000000,5,refunded
80,2026-07-24,PAteld37kP,Laptop,-10000000,4,refunded
81,2026-03-19,aiSHa1dz7d,Headset,-450000,4,failed
82,2026-03-08,p4eTeR1655,Headset,450000,3,refunded
83,2026-07-24,ITOW1,Monitor,2500000,1,paid
84,2026-08-28,DmiTRy_537,Monitor,2500000,2,refunded
85,2026-04-25,HAnS_384,Mouse,150000,3,pending
86,2026-05-23,ZaINAB_3230,Keyboard,500000,2,refunded
87,2026-08-31,antOnio597,SSD,900000,0,pending
88,2026-06-08,JuaN4343,Laptop,10000000,2,refunded
89,2026-05-18,CHOick5eh,Webcam,300000,5,refunded
90,2026-06-12,WEInNM6,Headset,450000,3,failed
91,2026-03-07,AhM1ed6565,Monitor,2500000,0,paid
92,2026-03-02,dEVIfERiz,HDD,700000,4,cancelled
93,2026-04-22,ELenA8139,Mouse,150000,5,failed
94,2026-07-31,taO9681,Mouse,150000,3,cancelled
95,2026-06-28,aLI6726,Headset,450000,4,cancelled
96,2026-07-20,BAbatuNDE6_784,Headset,450000,3,cancelled
97,2026-04-21,wE9I_126,HDD,700000,0,pending
98,2026-08-13,aseP1077,Webcam,300000,5,refunded
99,2026-05-27,yAmAmOTo_935,Monitor,2500000,5,paid
100,2026-07-13,e9ko_749,Webcam,300000,2,paid
101,2026-03-22,anau92h,Webcam,300000,4,failed
102,2026-04-29,sOpHiesA5Ux,Printer,3500000,0,refunded
103,2026-05-13,OlIvIA6220,Monitor,2500000,1,pending
104,2026-08-10,MaTEo5934,Mouse,150000,2,pending
105,2026-04-14,ANNA_887,RAM,800000,5,cancelled
106,2026-03-19,JuaN2861,Mouse,150000,0,pending
107,2026-05-27,oliVeR_695,RAM,800000,3,paid
108,2026-03-20,URSUL9aq5,HDD,700000,0,pending
109,2026-05-06,ItO_917,Headset,450000,5,pending
110,2026-07-28,fiTrI_481,Monitor,2500000,2,failed
111,2026-07-30,diETeR_269,Keyboard,500000,5,cancelled
112,2026-07-26,mARia5194,RAM,800000,1,cancelled
113,2026-08-11,Kofi_940,Printer,3500000,1,paid
114,2026-08-27,sophiE2606,Webcam,300000,5,pending
115,2026-08-28,olGa3DV,RAM,800000,3,pending
116,2026-07-01,shArMAPNTO,Monitor,2500000,5,paid
117,2026-06-07,MONikaahfc,Laptop,10000000,2,pending
118,2026-04-06,thiAGO94465,Headset,450000,0,cancelled
119,2026-06-09,PiErrE_861,Headset,450000,5,refunded
120,2026-05-07,cARMEn29261,Laptop,10000000,0,refunded
121,2026-07-17,AISHaMEy,Monitor,2500000,1,pending
122,2026-03-21,PIeRrE436,Mouse,150000,3,paid
123,2026-04-22,Wei4247,HDD,700000,2,pending
124,2026-06-14,d6iAn_620,Monitor,2500000,3,paid
125,2026-03-21,SerGEYmN,Webcam,300000,2,refunded
126,2026-05-18,siNgHpn9e,Printer,3500000,5,pending
127,2026-05-16,bABatUNDe7469,Headset,450000,1,pending
128,2026-03-31,mAteO1697,HDD,700000,2,cancelled
129,2026-06-11,MARIE_4980,Printer,3500000,3,pending
130,2026-05-24,Kim_178,Monitor,2500000,2,cancelled
131,2026-07-13,suSAnne06HV,Mouse,150000,1,refunded
132,2026-03-29,TANAkA_6971,Mouse,150000,1,paid
133,2026-05-06,ValENTINAZg8,Laptop,10000000,3,failed
134,2026-04-23,KAng24352,Headset,450000,0,cancelled
135,2026-07-04,FiTri_530,Laptop,10000000,4,paid
136,2026-05-02,CarMEN_6302,SSD,900000,5,refunded
137,2026-05-03,sinGh8935,SSD,900000,3,failed
138,2026-05-14,tHIAgO3158,Keyboard,500000,2,failed
139,2026-04-23,jEONgUJsOG,Headset,450000,3,paid
140,2026-08-31,EmmAlL3WT1,Mouse,150000,3,paid
141,2026-05-14,jeoNGW9vX,Webcam,300000,5,pending
142,2026-08-12,fAnGe6,HDD,700000,4,paid
143,2026-06-10,tAnAka2292,Laptop,10000000,3,refunded
144,2026-07-14,OLivIay10t,Keyboard,500000,1,pending
145,2026-04-16,KlAUs4762,Monitor,2500000,3,cancelled
146,2026-05-18,natAli3A2454,RAM,800000,3,refunded
147,2026-08-13,OMar7562,Printer,3500000,5,paid
148,2026-06-16,Yo6uSSeF742,HDD,700000,5,failed
149,2026-05-30,PArk5968,RAM,800000,5,failed
150,2026-05-14,taKAhAshi97Y8,Laptop,10000000,5,refunded
151,2026-04-06,KofI_796,SSD,900000,3,failed
152,2026-04-18,ana9136,Webcam,300000,3,refunded
153,2026-06-15,VaLENTiNa8424,Headset,450000,3,failed
154,2026-04-26,FaNG2905,Printer,3500000,5,refunded
155,2026-03-03,ANNa2881,SSD,900000,5,pending
156,2026-04-25,MATiAs3264,Monitor,2500000,4,pending
157,2026-08-30,shaRmA7307,SSD,900000,3,failed
158,2026-08-06,KA8URczEt,Headset,450000,2,failed
159,2026-05-06,SUsannE4672,RAM,800000,2,failed
160,2026-08-10,JuAn9280,Mouse,150000,2,pending
161,2026-07-28,Na8tALiA_912,Monitor,2500000,2,pending
162,2026-03-27,PArk_180,Mouse,150000,2,failed
163,2026-03-14,maTeo3M,Webcam,300000,4,failed
164,2026-04-06,ChuKWu6020,Webcam,300000,0,paid
165,2026-07-30,chUkwuxc0dz,Monitor,2500000,2,failed
166,2026-08-28,WATaNabE_528,Headset,450000,3,paid
167,2026-04-27,SERGEy1186,HDD,700000,0,pending
168,2026-07-02,UrSulaHQIWI,Laptop,-10000000,5,pending
169,2026-03-27,GUPTaykz8,Keyboard,500000,3,paid
170,2026-04-02,EKoPP,Mouse,150000,2,paid
171,2026-03-27,aMI1nAj6Rxa,HDD,700000,1,failed
172,2026-04-15,nAtALiaqnU,HDD,700000,0,paid
173,2026-06-12,TANakA2854,HDD,700000,5,failed
174,2026-04-02,sant3iaGo_780,Mouse,150000,2,pending
175,2026-03-27,mIchEL5970,RAM,800000,1,cancelled
176,2026-08-23,KIMrdoSi,Headset,450000,5,pending
177,2026-05-30,OmAr_629,Mouse,150000,3,pending
178,2026-08-31,SuzuKi2605,Keyboard,500000,1,cancelled
179,2026-08-07,SHarma52699,HDD,700000,0,pending
180,2026-08-19,mIn9196,Headset,-450000,0,refunded
181,2026-06-11,eKo_182,RAM,800000,3,paid
182,2026-05-12,LeE_931,Printer,3500000,5,cancelled
183,2026-03-14,vALen4tina1787,Mouse,150000,4,failed
184,2026-04-26,DAs6623,Headset,450000,3,failed
185,2026-03-03,m2atIaS4tHv,Printer,3500000,1,failed
186,2026-04-05,Lei_6184,Webcam,300000,1,pending
187,2026-07-16,luC88Z8qk,Mouse,-150000,0,failed
188,2026-06-27,aVa_085,Monitor,2500000,2,failed
189,2026-07-08,E8LijAHQFG,Mouse,150000,3,refunded
190,2026-07-28,jUansm,Keyboard,500000,3,paid
191,2026-05-13,maRiaA8X,Printer,3500000,2,paid
192,2026-08-05,susaNNe1177,HDD,700000,1,paid
193,2026-04-07,tANaka_736,HDD,700000,5,refunded
194,2026-04-17,kAuR2855,Mouse,150000,1,pending
195,2026-08-24,SUSanNExA,SSD,900000,0,pending
196,2026-06-26,SaBInE5B24,Mouse,150000,5,failed
197,2026-08-13,CA1MILlE_024,HDD,700000,5,refunded
198,2026-04-28,MonikanEz,Mouse,150000,5,cancelled
199,2026-08-20,ursULAmT2Yd,RAM,800000,2,paid
200,2026-05-05,JEon9G7D,RAM,800000,5,refunded
201,2026-08-23,CaMIlA2505,Headset,450000,5,paid
202,2026-07-17,OLiveRc7i,HDD,700000,2,refunded
203,2026-04-23,shArma7723,Monitor,2500000,1,failed
204,2026-08-04,iSAb8El_701,Printer,3500000,1,paid
205,2026-07-17,cHO8619,Monitor,2500000,5,paid
206,2026-05-12,uRSuLa86795,SSD,900000,1,failed
207,2026-08-01,JEaN_419,Monitor,2500000,1,failed
208,2026-06-17,BUdiRMPr,Headset,450000,4,pending
209,2026-07-23,erikaj4,Headset,450000,1,refunded
210,2026-04-27,UR3SulA3775,Keyboard,500000,4,pending
211,2026-07-25,Za9inABwsV,Laptop,10000000,1,pending
212,2026-06-17,maRiEh9tg,SSD,900000,1,failed
213,2026-06-25,zA9InaB7861,Keyboard,500000,4,paid
214,2026-06-08,aM6iNA_273,Webcam,300000,5,refunded
215,2026-04-16,HaNs92586,Webcam,300000,1,pending
216,2026-04-23,ANA_514,Monitor,2500000,1,pending
217,2026-05-29,nOaHbd,SSD,900000,4,refunded
218,2026-07-20,kAur_216,Webcam,300000,1,failed
219,2026-05-16,xi4u_154,Headset,450000,0,refunded
220,2026-03-19,Wei8606,Webcam,300000,4,cancelled
221,2026-04-09,budI16089,HDD,700000,2,refunded
222,2026-08-22,NgoZI_736,Printer,3500000,1,pending
223,2026-05-31,MARIam3073,Keyboard,500000,2,pending
224,2026-04-28,CITRa_467,Webcam,300000,2,failed
225,2026-07-17,avA30312,Monitor,2500000,5,refunded
226,2026-04-22,DIeTer_4069,Laptop,10000000,3,refunded
227,2026-08-09,I6SAbel_883,HDD,700000,1,failed
228,2026-03-22,mARIam291,Keyboard,500000,0,failed
229,2026-05-09,a0Va_702,Monitor,2500000,4,paid
230,2026-06-22,asEP9767,RAM,800000,5,refunded
231,2026-06-11,chUKwUrS8n,Keyboard,500000,0,pending
232,2026-08-29,FatIma_3375,HDD,700000,0,cancelled
233,2026-06-19,eLeNA_675,Laptop,10000000,2,failed
234,2026-08-27,NGoZi8_916,Headset,450000,5,failed
235,2026-05-27,patelvb90,Printer,3500000,1,refunded
236,2026-06-21,VaLeRIA_306,Headset,450000,2,cancelled
237,2026-07-17,lEE_364,Headset,450000,1,refunded
238,2026-06-15,JUAn_353,Webcam,300000,4,pending
239,2026-03-24,youSSEF_945,Monitor,2500000,1,pending
240,2026-05-17,mANUEl_911,Printer,3500000,1,failed
241,2026-07-31,tHIago5u,Laptop,10000000,3,refunded
242,2026-07-20,pIERRE_263,SSD,900000,2,paid
243,2026-03-13,choI_443,Monitor,2500000,2,pending
244,2026-03-19,sOPHiEjpHQw,Mouse,150000,1,failed
245,2026-07-10,mATIas9r,Printer,3500000,3,cancelled
246,2026-05-21,mARIAM_468,HDD,700000,3,pending
247,2026-06-07,paRk_312,Keyboard,500000,1,paid
248,2026-08-27,ChUKwU1172,HDD,700000,4,refunded
249,2026-08-10,FaTIMA_833,RAM,800000,4,pending
250,2026-06-30,ITO9580,HDD,700000,4,cancelled
251,2026-07-28,ZAkI_282,SSD,900000,2,pending
252,2026-04-08,ji6anbkI1G,Mouse,-150000,3,pending
253,2026-06-28,AMInaDIG,Headset,450000,1,paid
254,2026-03-28,PetErVWi,Printer,3500000,0,failed
255,2026-08-05,ASEpV4Ba,Headset,450000,5,paid
256,2026-03-26,Le6E794,HDD,700000,5,paid
257,2026-03-17,vAlEnTiNA_525,SSD,900000,5,paid
258,2026-05-25,baBATunderU,SSD,900000,1,failed
259,2026-08-05,cHUKWU6741,Mouse,150000,1,paid
260,2026-05-29,sUzUkI_696,HDD,700000,2,pending
261,2026-03-25,NOaHitmD7,HDD,700000,5,paid
262,2026-05-30,jEONg2426,HDD,700000,2,refunded
263,2026-08-16,ANtonIo9511,Printer,3500000,4,pending
264,2026-03-13,cho_3645,Mouse,150000,4,paid
265,2026-05-30,alI_565,Mouse,150000,4,failed
266,2026-07-13,AVA263,Laptop,10000000,0,paid
267,2026-08-14,FATI1MASVk,Mouse,-150000,1,refunded
268,2026-05-08,SUZUKI1867,RAM,800000,2,refunded
269,2026-04-09,tAo6V,Printer,3500000,2,pending
270,2026-04-30,WATANABefZ,Laptop,10000000,4,refunded
271,2026-03-20,caMIllE_882,Headset,450000,1,cancelled
272,2026-04-05,kiM_114,SSD,900000,2,refunded
273,2026-08-30,patEL9787,Laptop,10000000,5,pending
274,2026-07-09,oLiVER3182,Laptop,10000000,2,failed
275,2026-07-01,iTo1748,Printer,3500000,4,refunded
276,2026-05-22,ekO2563,Headset,450000,2,cancelled
277,2026-05-26,kLaus71168,Printer,3500000,1,paid
278,2026-08-20,mAriEjIZss,Printer,3500000,0,cancelled
279,2026-04-12,SaBINE_611,RAM,800000,1,cancelled
280,2026-03-02,JeOng_741,Webcam,300000,3,paid
281,2026-05-02,CitrA_300,Laptop,10000000,1,cancelled
282,2026-07-25,Ca9miLleJreb,Webcam,300000,2,refunded
283,2026-07-05,siNgh_8788,Webcam,300000,5,cancelled
284,2026-07-24,cAMIlle_9917,HDD,700000,2,paid
285,2026-03-15,SinGh22446,Laptop,10000000,3,paid
286,2026-07-13,kAnGahpK,RAM,800000,3,pending
287,2026-08-28,I6Van6edD,Laptop,10000000,1,refunded
288,2026-05-19,uRsuLA81229,HDD,700000,2,pending
289,2026-08-27,AisHabBsBI,Laptop,10000000,0,pending
290,2026-05-18,tANaka_760,SSD,900000,1,paid
291,2026-08-13,CItRa2020,Monitor,2500000,4,refunded
292,2026-03-08,itO_623,Headset,450000,1,refunded
293,2026-05-30,ANNA_146,Webcam,300000,4,cancelled
294,2026-06-24,seRGeYHho,HDD,700000,3,pending
295,2026-03-04,ANA1143,Keyboard,500000,0,refunded
296,2026-08-19,JeaN5662,SSD,900000,5,paid
297,2026-03-29,MIKHaiL_728,Headset,450000,4,refunded
298,2026-07-10,NATALia7565,Mouse,150000,1,paid
299,2026-04-20,juLIE0eIC,Headset,450000,5,pending
300,2026-04-26,KANGvK,Monitor,2500000,5,pending
301,2026-03-03,yOusSef62200,Laptop,10000000,2,paid
302,2026-06-05,jeoNg_523,RAM,800000,5,paid
303,2026-05-31,YOUSsEf_097,Monitor,-2500000,5,cancelled
304,2026-05-29,kofI1iV,Headset,450000,1,paid
305,2026-03-10,Ana_200,Keyboard,500000,2,paid
306,2026-06-04,JEan8484,SSD,900000,5,pending
307,2026-03-09,MarIAm_186,Keyboard,-500000,1,refunded
308,2026-04-08,tao_7669,Laptop,10000000,4,refunded
309,2026-06-12,tAKAHaSHI9975,Keyboard,500000,2,pending
310,2026-05-08,aMiNA98156,Printer,3500000,5,pending
311,2026-07-06,MAriE79630,Keyboard,500000,4,pending
312,2026-03-09,CAMilaZCNr,HDD,700000,4,refunded
313,2026-04-19,SuzUKiy5c,Headset,450000,2,refunded
314,2026-03-26,zAinaB887,RAM,800000,0,refunded
315,2026-07-13,aHMEd4725,HDD,700000,2,cancelled
316,2026-06-03,pIERreWR,Monitor,2500000,5,pending
317,2026-06-18,DEvi5065,Laptop,10000000,3,pending
318,2026-08-08,uRsu9La4057,Keyboard,500000,3,paid
319,2026-05-15,koFI_533,Printer,3500000,0,paid
320,2026-05-29,itO2882,Printer,3500000,0,pending
321,2026-07-26,ChuKWU3Xo,Laptop,10000000,2,paid
322,2026-08-08,CH7UKWu3063,Keyboard,500000,2,refunded
323,2026-07-06,Ah4MED9315,SSD,900000,2,failed
324,2026-05-31,JeONg1918,SSD,900000,1,cancelled
325,2026-07-08,DIaN_748,SSD,900000,2,pending
326,2026-07-12,ErIkA3J732,RAM,-800000,3,paid
327,2026-05-11,BUdI_063,SSD,900000,4,paid
328,2026-05-22,M5atiASM3cIU,SSD,900000,3,refunded
329,2026-04-06,dI3etEr9126,Laptop,10000000,4,failed
330,2026-04-08,ParK7893,RAM,800000,5,refunded
331,2026-05-13,ZAIn2AB_656,Headset,450000,2,failed
332,2026-06-25,LIaM7141,Keyboard,500000,3,refunded
333,2026-08-26,huiL9TR,Laptop,10000000,5,failed
334,2026-05-10,OLgAdqL,Webcam,300000,5,paid
335,2026-08-13,aNtoni8O_965,HDD,700000,0,failed
336,2026-06-21,park_872,RAM,800000,0,paid
337,2026-06-09,mARia7f09,Keyboard,500000,3,cancelled
338,2026-06-07,PaRKMDH,Monitor,2500000,1,paid
339,2026-05-08,eKO_9738,Mouse,150000,4,failed
340,2026-05-14,siNGHqefgT,Laptop,10000000,3,refunded
341,2026-08-21,ErIKa_1586,SSD,900000,4,failed
342,2026-06-28,OLgA_077,Headset,450000,4,cancelled
343,2026-06-26,MATeo_634,RAM,800000,4,pending
344,2026-08-03,AMiNa_133,Laptop,10000000,2,paid
345,2026-07-12,BUdi9k,Keyboard,500000,2,failed
346,2026-08-12,MaTiaS_851,RAM,800000,5,failed
347,2026-08-01,sabInE_747,HDD,-700000,2,refunded
348,2026-04-14,matIAs2455,Headset,450000,0,paid
349,2026-03-31,cARMeN_4690,Webcam,300000,0,cancelled
350,2026-07-16,kA0nG_860,Monitor,2500000,2,refunded
351,2026-07-31,sAtOx7QZ,HDD,700000,4,paid
352,2026-04-19,siNGH_739,Keyboard,500000,3,pending
353,2026-08-07,ciTrAhD,Webcam,300000,2,refunded
354,2026-08-26,kiM285,Laptop,10000000,5,refunded
355,2026-03-07,PiERreaU,Webcam,300000,4,refunded
356,2026-07-02,kWaMeNNc,Keyboard,500000,3,failed
357,2026-07-03,LeE_8952,Keyboard,500000,0,paid
358,2026-07-17,sabiNEFbny,Printer,3500000,4,pending
359,2026-05-09,SAntIAgo3160,Printer,3500000,5,failed
360,2026-04-01,EkO8SyQ,Mouse,150000,2,pending
361,2026-07-12,AsepwYO,SSD,900000,3,refunded
362,2026-03-23,aVA_2624,Headset,450000,4,paid
363,2026-04-29,DaSwaav3,Mouse,150000,2,pending
364,2026-04-18,EkOZe,Mouse,150000,4,pending
365,2026-05-17,santiagO_548,HDD,700000,1,cancelled
366,2026-06-25,MoNika_063,Webcam,300000,2,failed
367,2026-03-03,EMMA1492,Monitor,2500000,5,cancelled
368,2026-06-23,DIAn_111,SSD,900000,5,refunded
369,2026-05-14,PArK_155,Monitor,2500000,0,refunded
370,2026-07-13,anTOniOIx,HDD,700000,0,refunded
371,2026-06-22,IvAn_9254,RAM,800000,5,pending
372,2026-04-28,KIm3376,Headset,450000,3,pending
373,2026-04-28,SUzUki_975,Printer,3500000,3,refunded
374,2026-04-20,EMma37547,Keyboard,500000,4,pending
375,2026-07-15,Kofi_880,Headset,450000,3,refunded
376,2026-06-19,zAIN2AB8893,Webcam,300000,3,failed
377,2026-04-24,CitrAubLA,RAM,800000,1,failed
378,2026-03-24,sharMA28808,Monitor,2500000,3,paid
379,2026-05-14,DieTEr5478,Keyboard,500000,5,pending
380,2026-06-20,Ch9oI1594,RAM,800000,2,paid
381,2026-07-13,dian_318,HDD,700000,0,refunded
382,2026-05-24,KWame3234,Headset,450000,5,cancelled
383,2026-07-25,eLeNAps542,HDD,700000,1,cancelled
384,2026-05-02,kU7mAr1571,Webcam,300000,1,cancelled
385,2026-03-25,takAHAShi_539,SSD,900000,4,refunded
386,2026-05-23,diEter_433,HDD,700000,2,refunded
387,2026-06-03,ELijAhG9No0,Webcam,300000,3,paid
388,2026-05-10,fAT4IMaj2z,SSD,900000,3,paid
389,2026-07-20,aV9A_689,Laptop,10000000,3,cancelled
390,2026-07-13,san9tiAgo9111,Mouse,150000,5,failed
391,2026-08-07,MICHeL_437,HDD,700000,2,failed
392,2026-07-31,JEan3787,SSD,900000,4,cancelled
393,2026-07-12,AsEPM0,RAM,800000,2,paid
394,2026-08-15,MATiaS_169,SSD,900000,3,cancelled
395,2026-04-22,kumar803,Laptop,10000000,4,pending
396,2026-07-03,AvaRU4,SSD,900000,2,paid
397,2026-07-30,aDebayo_410,Monitor,2500000,2,pending
398,2026-05-13,e5RIkA9131,Headset,450000,4,failed
399,2026-06-29,ALI_003,Keyboard,500000,2,pending
400,2026-08-31,ali_312,Keyboard,500000,2,paid
401,2026-06-11,valEria_328,Laptop,10000000,5,refunded
402,2026-06-21,Kwame_656,Printer,3500000,3,failed
403,2026-08-02,anNA_646,Monitor,2500000,1,refunded
404,2026-07-21,Cho_200,Keyboard,500000,4,paid
405,2026-08-30,hanS2756,Printer,3500000,2,refunded
406,2026-06-10,anNaIuV,HDD,700000,1,failed
407,2026-03-24,mIChEl_111,Webcam,300000,4,pending
408,2026-03-11,kIM1824,Webcam,300000,5,refunded
409,2026-03-22,LUc_819,Printer,3500000,0,cancelled
410,2026-06-28,valErIA6158,SSD,900000,0,paid
411,2026-03-18,dEvi_999,Keyboard,500000,3,refunded
412,2026-03-19,ava_325,Keyboard,500000,0,failed
413,2026-04-29,LuC_716,Webcam,300000,1,failed
414,2026-03-10,MiKHAIl20147,Laptop,10000000,1,pending
415,2026-05-22,nO1AH_174,Laptop,10000000,5,pending
416,2026-06-10,patel_312,SSD,900000,3,pending
417,2026-08-11,olIVer_9386,Headset,450000,3,failed
418,2026-04-13,han3S1237,Webcam,300000,1,paid
419,2026-06-09,ASeP4860,Keyboard,500000,1,refunded
420,2026-07-11,sUZukigTo,RAM,800000,0,failed
421,2026-03-28,Se7RGeYpD,Webcam,300000,2,cancelled
422,2026-04-09,URsULach2N,Printer,3500000,4,refunded
423,2026-08-16,A8NNA280,Printer,3500000,3,cancelled
424,2026-05-23,jeaNJBh,Keyboard,500000,1,failed
425,2026-08-21,mARiamblEh0h,SSD,900000,1,paid
426,2026-08-30,Kofi_708,Monitor,2500000,5,refunded
427,2026-04-23,ELeNA2567,Monitor,2500000,1,refunded
428,2026-08-01,bUdI1356,HDD,700000,3,cancelled
429,2026-03-26,KWAme_620,SSD,900000,4,refunded
430,2026-06-24,aMa_142,Keyboard,500000,1,cancelled
431,2026-06-26,pEter9623,SSD,900000,5,paid
432,2026-07-31,lIam7N9,Headset,450000,0,failed
433,2026-05-29,shaRMA93527,Mouse,150000,5,cancelled
434,2026-08-01,MoNikAcPYN,Keyboard,500000,4,failed
435,2026-04-30,suzUKi8845,Printer,3500000,1,cancelled
436,2026-06-05,KANg_4272,RAM,800000,2,cancelled
437,2026-06-02,shaRMab3v,HDD,700000,4,paid
438,2026-06-21,mAnuel5845,Webcam,300000,4,failed
439,2026-05-05,NgoZiSDx7r,Webcam,300000,3,cancelled
440,2026-06-08,ChOIlF,Mouse,150000,2,paid
441,2026-08-07,zaK9i_237,Headset,450000,1,failed
442,2026-08-08,JUaNU5Ykh6,RAM,800000,1,failed
443,2026-06-02,Je6an_268,Monitor,2500000,0,cancelled
444,2026-07-13,JiAn_343,RAM,800000,1,failed
445,2026-07-18,J6iAN7409,RAM,800000,3,failed
446,2026-06-20,kUmAR9877,Headset,450000,1,refunded
447,2026-04-26,ANA_163,Printer,3500000,2,cancelled
448,2026-04-13,JULiE8626,SSD,900000,3,paid
449,2026-08-01,adEbayo14162,Headset,450000,5,paid
450,2026-04-29,iVAN8g,Printer,3500000,4,pending
451,2026-08-25,OlIViA_213,Webcam,-300000,2,pending
452,2026-05-17,vaLENTina_587,Keyboard,500000,4,failed
453,2026-03-05,KwAMe5051,Keyboard,500000,1,pending
454,2026-05-30,b4UDigLs,Printer,3500000,3,paid
455,2026-08-27,devi_146,Monitor,2500000,1,failed
456,2026-05-26,SaNtIAgO5498,Mouse,150000,0,refunded
457,2026-05-04,MiCHEL16144,Headset,450000,2,pending
458,2026-08-01,SUsanNE8560,Mouse,150000,3,refunded
459,2026-04-22,sa0To416a,HDD,700000,4,cancelled
460,2026-04-08,FanG_461,RAM,800000,1,pending
461,2026-05-31,AMina2363,Printer,3500000,4,refunded
