id,customer,product,price,quantity,status
49,Fajar_4030,HDD,700000,1,pending
50,Eka_5202,Monitor,2500000,3,failed
51,Wati_1511,Headset,450000,1,refunded
52,Citra_7085,Keyboard,500000,4,refunded
53,Udin_4992,SSD,-900000,3,cancelled
54,Yudi_4346,Keyboard,500000,1,paid
55,Tono_5615,SSD,900000,1,cancelled
56,Yudi_4751,SSD,900000,2,paid
57,Fajar_5121,Printer,3500000,4,pending
58,Zaki_4972,Monitor,2500000,2,failed
59,Citra_2400,HDD,700000,1,cancelled
60,Udin_2421,Printer,3500000,5,cancelled
61,Sari_5304,HDD,700000,0,refunded
62,JOKO_8163,Monitor,2500000,5,failed
63,Sari_5661,Mouse,150000,4,failed
64,Tono_8872,Mouse,150000,4,paid
65,Agus_2620,HDD,700000,1,refunded
66,IWAN_9669,Monitor,2500000,2,paid
67,Sari_1035,RAM,800000,3,paid
68,Wati_1390,SSD,900000,5,pending
69,Gita_5285,Monitor,2500000,2,failed
70,Yudi_1556,Printer,3500000,3,cancelled
71,Vina_3364,Headset,450000,2,refunded
72,Tono_9064,Webcam,300000,2,refunded
73,Wati_8429,Mouse,150000,5,refunded
74,Fajar_9156,Mouse,150000,0,cancelled
75,Eka_1282,Webcam,300000,2,refunded
76,iwan_3393,Webcam,-300000,5,cancelled
77,Sari_2134,RAM,800000,2,failed
78,Zaki_9328,RAM,800000,3,failed
79,Vina_2043,Headset,450000,3,paid
80,Vina_5383,HDD,700000,0,failed
81,Udin_8625,Webcam,300000,2,refunded
82,Vina_9052,Laptop,10000000,3,failed
83,Gita_6343,Printer,3500000,2,refunded
84,Iwan_1758,RAM,800000,1,failed
85,Joko_7151,SSD,900000,1,failed
86,Agus_3593,Printer,3500000,3,failed
87,Rina_7218,Keyboard,500000,3,cancelled
88,Zaki_7272,Keyboard,500000,2,refunded
89,joko_4722,Printer,3500000,3,failed
90,Joko_9336,Keyboard,500000,5,pending
91,Udin_4172,Printer,3500000,2,refunded
92,Deni_6953,SSD,900000,1,refunded
93,Wati_5542,Keyboard,500000,4,pending
94,Deni_2529,Headset,450000,4,failed
95,Hadi_7140,HDD,700000,3,refunded
96,IWAN_2887,SSD,900000,1,cancelled
97,Deni_7632,Webcam,300000,3,paid
98,Udin_6635,RAM,800000,2,failed
99,Iwan_8251,RAM,800000,5,refunded
100,Agus_7921,Laptop,10000000,4,pending
101,Deni_7065,Laptop,10000000,3,cancelled
102,Rina_8353,HDD,700000,1,pending
103,iwan_8265,HDD,700000,4,refunded
104,Citra_2334,Monitor,-2500000,1,paid
105,Hadi_8266,Printer,3500000,4,refunded
106,Agus_1810,SSD,900000,0,pending
107,citra_2445,SSD,900000,4,pending
108,Hadi_5049,Printer,3500000,4,cancelled
109,Eka_6282,SSD,900000,4,paid
110,Budi_8628,RAM,800000,1,cancelled
111,Wati_6335,Printer,3500000,4,cancelled
112,WATI_4591,Mouse,150000,5,pending
113,Rina_5207,RAM,800000,4,refunded
114,Citra_1613,Monitor,2500000,3,cancelled
115,Budi_1261,Webcam,300000,0,failed
116,Fajar_5714,Mouse,150000,4,paid
117,hadi_4942,Laptop,10000000,0,paid
118,Iwan_7545,Printer,3500000,5,failed
119,Budi_4441,Laptop,10000000,3,refunded
120,Budi_2724,Mouse,150000,5,paid
121,Yudi_4716,Monitor,2500000,4,refunded
122,Tono_5461,HDD,700000,4,refunded
123,Iwan_8136,Mouse,150000,4,failed
124,vina_2825,SSD,900000,4,paid
125,Udin_8108,Mouse,150000,2,pending
126,Rina_6245,Mouse,150000,3,failed
127,Yudi_3748,Webcam,300000,1,pending
128,Joko_6154,Keyboard,500000,0,refunded
129,Tono_5905,Webcam,300000,4,pending
130,Zaki_9265,Mouse,150000,4,refunded
131,Tono_1998,HDD,700000,5,failed
132,Zaki_3879,SSD,900000,4,cancelled
133,Iwan_4614,Keyboard,-500000,1,cancelled
134,Joko_7219,Webcam,300000,2,pending
135,Fajar_8585,SSD,900000,1,refunded
136,Joko_8813,Keyboard,500000,0,paid
137,CITRA_1501,Mouse,150000,3,failed
138,Iwan_7407,Printer,3500000,4,refunded
139,Zaki_9430,Monitor,-2500000,5,refunded
140,Udin_4150,Keyboard,500000,3,pending
141,deni_1210,Monitor,2500000,5,failed
142,Zaki_1154,Headset,450000,4,cancelled
143,Agus_1208,RAM,800000,5,paid
144,Sari_6502,Mouse,150000,3,paid
145,Vina_5916,Mouse,150000,4,pending
146,WATI_9005,Printer,3500000,4,paid
147,Hadi_8526,Headset,450000,1,failed
148,Tono_6403,Mouse,150000,3,pending
149,Udin_5150,Headset,-450000,1,refunded
150,Citra_3497,Laptop,10000000,3,failed
151,yudi_2942,Headset,450000,4,cancelled
152,Agus_1283,SSD,900000,0,pending
153,Yudi_8482,HDD,700000,3,paid
154,Fajar_4221,Headset,450000,3,paid
155,Budi_7254,Mouse,150000,1,failed
156,Zaki_6573,Laptop,10000000,0,pending
157,Wati_2667,Headset,450000,3,cancelled
158,Rina_9158,SSD,900000,5,cancelled
159,wati_2741,SSD,900000,2,failed
160,Rina_2485,HDD,700000,2,cancelled
161,Rina_8004,Headset,450000,1,pending
162,Citra_1379,Headset,450000,1,paid
163,Zaki_9061,RAM,800000,1,cancelled
164,Tono_2816,RAM,800000,3,cancelled
165,Tono_3799,Mouse,150000,2,refunded
166,Citra_7271,Keyboard,500000,4,failed
167,Iwan_6222,Laptop,10000000,3,failed
168,Gita_8094,Headset,450000,1,pending
169,Sari_8426,HDD,700000,2,refunded
170,Joko_6236,Webcam,-300000,0,cancelled
171,Citra_3864,SSD,900000,3,refunded
172,Agus_1802,SSD,-900000,1,pending
173,IWAN_1855,Keyboard,500000,2,pending
174,Budi_8430,HDD,700000,1,refunded
175,Iwan_2658,Monitor,2500000,2,paid
176,rina_9701,Mouse,150000,0,cancelled
177,Rina_7435,Printer,3500000,2,refunded
178,Udin_4783,SSD,900000,1,refunded
179,Budi_5325,Printer,3500000,1,pending
180,Yudi_5562,Webcam,300000,2,paid
181,Hadi_6007,Laptop,10000000,1,failed
182,Eka_4024,Laptop,10000000,1,pending
183,Agus_1350,Keyboard,500000,2,refunded
184,Yudi_8918,Printer,3500000,3,refunded
185,Yudi_9997,RAM,800000,2,failed
186,Eka_4721,SSD,900000,4,pending
187,Citra_9195,Webcam,300000,3,paid
188,Agus_7042,HDD,700000,3,paid
189,Zaki_3289,SSD,900000,2,pending
190,Wati_5641,Laptop,-10000000,2,pending
191,Yudi_2028,Printer,-3500000,1,pending
192,hadi_5225,Keyboard,-500000,1,cancelled
193,rina_8357,Laptop,10000000,4,cancelled
194,budi_6570,Headset,450000,1,paid
195,Wati_8199,Webcam,300000,0,failed
196,TONO_1816,Printer,3500000,4,refunded
197,Vina_2947,Webcam,300000,2,paid
198,zaki_9175,Monitor,2500000,4,pending
199,Udin_6694,Monitor,2500000,4,pending
200,UDIN_5550,Monitor,2500000,2,refunded
